iteration,probability
3218,0
3229,0
3234,0
3237,0
3253,0
3263,0.48061782725904045
3267,0
3281,0
3288,0
3307,0
3319,0
3339,0
3355,0
3370,0
3377,0
3384,0
3392,0
3398,0
3401,0
3407,0
3409,0
3415,0
3432,0
3446,0
3449,0
3456,0
3474,0
3478,0
3486,0
3489,0
3502,0
3519,0
3522,0
3544,0
3555,0
3573,0.39781122786836104
3576,0
3580,0
3584,0
3612,0
3613,0.38693693835442516
3627,0.00002610752804824488
3629,0
3642,0
3646,0
3670,0
3688,0
3698,0
3702,0
3707,0
3724,0
3727,0
3745,0
3754,0
3755,0
3759,0
3773,0
3785,0
3802,0
3814,0
3847,0
3856,0
3860,0
3863,0
3867,0
3888,0
3919,0
3932,0.3004322652689937
3942,0
3946,0
3951,0
3952,0
3977,0
3987,0
4002,0
4003,0
4020,0
4075,0
4107,0
4109,0
4119,0
4125,0
4136,0
4140,0
4144,0
4147,0
4150,0
4152,0
4166,0
4177,0
4183,0
4187,0
4190,0
4217,0
4223,0
4231,0
4232,0
4252,0
4289,0
4291,0
4298,0.20660324605781488
4310,0
4318,0
4340,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000006923883115228883
4350,0
4358,0
4366,0
4369,0
4376,0
4383,0
4386,0
4388,0
4390,0
4392,0
4403,0
4407,0
4428,0
4446,0
4448,0
4478,0
4479,0
4484,0
4489,0
4506,0
4516,0.000000000000000001963348371503072
4520,0
4528,0
4533,0
4536,0
4545,0.0000000000000000008101678218804817
4553,0
4555,0
4561,0
4566,0
4568,0
4569,0
4571,0
4580,0
4594,0
4596,0
4604,0.000000000006793992271069109
4607,0
4612,0
4627,0
4638,0.000000000003526441138569456
4650,0
4653,0
4654,0
4660,0
4669,0
4701,0
4702,0
4703,0
4707,0
4708,0
4709,0.0000000000000000000000000000000031706423791040066
4715,0.11676858637851825
4716,0
4717,0
4727,0
4733,0
4736,0
4749,0
4753,0
4764,0
4765,0.10768144821404656
4770,0
4780,0
4783,0
4786,0
4794,0
4807,0
4813,0
4826,0
4829,0
4830,0
4831,0
4833,0
4835,0.000000000000000000000000000000000000000000000000000009847142221210534
4846,0
4855,0
4856,0
4857,0
4862,0
4864,0
4865,0
4907,0.000000000000000000000002217107053234753
4922,0
4925,0
4941,0
4944,0
4950,0
4956,0
4957,0
4963,0
4967,0
4976,0
4981,0
4985,0
4990,0
5001,0
5008,0
5039,0
5044,0
5058,0
5062,0
5070,0
5086,0
5100,0
5115,0.055685021856197885
5128,0
5136,0
5158,0
5165,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000028912121885107386
5170,0
5173,0
5182,0
5192,0
5200,0
5204,0
5205,0
5217,0
5218,0
5221,0
5228,0
5233,0
5241,0
5266,0
5274,0
5286,0.03770464800439314
5289,0
5292,0
5293,0
5294,0
5308,0
5312,0
5323,0
5367,0
5375,0
5387,0
5395,0
5397,0
5400,0
5402,0
5408,0
5414,0
5433,0
5441,0
5444,0
5445,0
5459,0
5503,0
5505,0.00000000000000000000000000000000000014644786470079363
5509,0
5518,0
5526,0
5531,0
5547,0
5556,0
5557,0
5566,0
5570,0
5573,0
5575,0
5582,0
5607,0
5610,0
5612,0
5632,0
5635,0
5650,0
5661,0
5670,0
5685,0
5703,0
5754,0
5768,0
5771,0
5785,0
5793,0
5805,0
5813,0
5833,0
5843,0
5844,0
5850,0
5852,0
5866,0
5872,0
5873,0.006326307354295485
5888,0
5907,0
5909,0
5918,0
5923,0
5929,0
5935,0
5937,0
5949,0
5968,0
5972,0
5979,0
5989,0
5994,0
6022,0
6023,0
6027,0
6043,0
6046,0
6057,0
6076,0
6079,0
6080,0
6103,0
6105,0
6108,0
6128,0
6129,0
6142,0
6144,0
6153,0
6158,0
6164,0
6166,0
6169,0
6171,0
6183,0
6193,0
6204,0
6207,0
6214,0
6216,0
6218,0
6241,0
6251,0
6265,0
6270,0
6271,0
6278,0
6279,0
6304,0
6312,0
6318,0
6339,0
6357,0
6362,0
6367,0
6369,0
6384,0
6397,0
6400,0
6408,0
6409,0
6411,0
6415,0
6446,0
6451,0
6467,0
6474,0
6482,0
6487,0
6496,0
6498,0
6504,0
