iteration,temperature
0,16127.60992062586
1,16104.341942057124
2,16081.107533175982
3,16057.90664555004
4,16034.739230816776
5,16011.605240683448
6,15988.504626926984
7,15965.437341393888
8,15942.403336000134
9,15919.402562731071
10,15896.43497364132
11,15873.500520854677
12,15850.599156564007
13,15827.730833031152
14,15804.895502586825
15,15782.093117630517
16,15759.323630630388
17,15736.586994123181
18,15713.883160714115
19,15691.212083076782
20,15668.57371395306
21,15645.968006153005
22,15623.394912554759
23,15600.854386104444
24,15578.346379816072
25,15555.870846771442
26,15533.427740120047
27,15511.017013078968
28,15488.638618932788
29,15466.292511033482
30,15443.97864280033
31,15421.696967719814
32,15399.447439345524
33,15377.23001129806
34,15355.044637264935
35,15332.89127100048
36,15310.769866325747
37,15288.68037712841
38,15266.622757362675
39,15244.596961049174
40,15222.602942274882
41,15200.64065519301
42,15178.710054022917
43,15156.81109305001
44,15134.94372662565
45,15113.107909167058
46,15091.30359515722
47,15069.530739144791
48,15047.789295744
49,15026.079219634556
50,15004.400465561552
51,14982.752988335375
52,14961.136742831606
53,14939.551683990932
54,14917.997766819048
55,14896.474946386563
56,14874.983177828908
57,14853.522416346243
58,14832.09261720336
59,14810.693735729594
60,14789.32572731873
61,14767.988547428906
62,14746.682151582521
63,14725.40649536615
64,14704.161534430435
65,14682.947224490015
66,14661.763521323412
67,14640.610380772949
68,14619.48775874466
69,14598.395611208198
70,14577.333894196732
71,14556.302563806872
72,14535.301576198563
73,14514.330887595004
74,14493.390454282551
75,14472.48023261063
76,14451.600178991637
77,14430.750249900862
78,14409.930401876385
79,14389.140591518992
80,14368.38077549208
81,14347.650910521572
82,14326.950953395824
83,14306.280860965537
84,14285.640590143663
85,14265.030097905317
86,14244.44934128769
87,14223.898277389953
88,14203.37686337318
89,14182.885056460242
90,14162.42281393573
91,14141.990093145861
92,14121.586851498396
93,14101.213046462537
94,14080.868635568853
95,14060.553576409182
96,14040.26782663655
97,14020.011343965072
98,13999.784086169879
99,13979.586011087014
100,13959.41707661336
101,13939.277240706535
102,13919.166461384819
103,13899.084696727059
104,13879.031904872583
105,13859.008044021115
106,13839.013072432683
107,13819.046948427538
108,13799.109630386063
109,13779.201076748686
110,13759.321246015797
111,13739.470096747658
112,13719.64758756432
113,13699.85367714553
114,13680.088324230652
115,13660.35148761858
116,13640.64312616765
117,13620.96319879555
118,13601.311664479248
119,13581.688482254891
120,13562.093611217726
121,13542.527010522019
122,13522.988639380963
123,13503.478457066598
124,13483.99642290972
125,13464.542496299806
126,13445.11663668492
127,13425.71880357163
128,13406.34895652493
129,13387.007055168146
130,13367.693059182862
131,13348.406928308832
132,13329.14862234389
133,13309.918101143872
134,13290.715324622537
135,13271.540252751473
