iteration,best_cost,incumbent_cost
0,170784643,170784643
1,170784643,170784643
2,133262042,133262042
3,133262042,133262042
4,132884202,132884202
5,132710347,132710347
6,132710347,132710347
7,132663056,132663056
8,132663056,133143888
9,132663056,132817670
10,132521752,132521752
11,132110604,132110604
12,132110604,132110604
13,132110604,132110604
14,131912178,131912178
15,131912178,131912178
16,131713996,131713996
17,131713996,132432061
18,131713996,132432061
19,131713996,132432061
20,131713996,132017014
21,131713996,132017014
22,131713996,132017014
23,131713996,132050887
24,131713996,132028716
25,131713996,131968508
26,131713996,131968508
27,131713996,131968508
28,131713996,131968508
29,131713996,131946048
30,131645898,131645898
31,131645898,131645898
32,131645898,131645898
33,131645898,131645898
34,131279784,131279784
35,131023883,131023883
36,130938317,130938317
37,130938317,130938317
38,130752922,130752922
39,130752922,130752922
40,130695594,130695594
41,130695594,130695594
42,130695594,130695594
43,130603778,130603778
44,130603778,130603778
45,130360815,130360815
46,130358441,130358441
47,130358441,130358441
48,130358441,130358441
49,130185575,130185575
50,130185575,130185575
51,129803191,129803191
52,129803191,129803191
53,129803191,129803191
54,129512138,129512138
55,129512138,129512138
56,129512138,129512138
57,129512138,129512138
58,129512138,129512138
59,129512138,129512138
60,129384932,129384932
61,129370174,129370174
62,129370174,129370174
63,129122200,129122200
64,129122200,129122200
65,129122200,129122200
66,129118549,129118549
67,129118549,129118549
68,128729291,128729291
69,128729291,131329102
70,128729291,131329102
71,128729291,131329102
72,128729291,131329102
73,128729291,131329102
74,128729291,131234365
75,128729291,130985480
76,128729291,130730118
77,128729291,130730118
78,128729291,130730118
79,128729291,130615730
80,128729291,130615730
81,128729291,130482630
82,128729291,131484468
83,128729291,131484468
84,128729291,131091568
85,128729291,131120377
86,128729291,131120377
87,128729291,131098990
88,128729291,131098990
89,128729291,131035083
90,128729291,131035083
91,128729291,131035083
92,128729291,130892021
93,128729291,130440137
94,128729291,130440137
95,128729291,130929560
96,128729291,130814589
97,128729291,130814589
98,128729291,130346207
99,128729291,130346207
100,128729291,130096107
101,128729291,130096107
102,128729291,129854734
103,128729291,129854734
104,128729291,129854734
105,128729291,129854734
106,128729291,129854734
107,128729291,129660003
108,128729291,129537095
109,128729291,129537095
110,128729291,129368612
111,128729291,129368612
112,128729291,129322907
113,128729291,129322907
114,128729291,129106156
115,128729291,129106156
116,128729291,128981628
117,128729291,128839161
118,128729291,130415909
119,128729291,130293470
120,128729291,130201637
121,128729291,130201637
122,128729291,130085704
123,128729291,129746323
124,128729291,129733885
125,128729291,129688206
126,128729291,129592609
127,128729291,130537856
128,128729291,130536135
129,128729291,130536135
130,128729291,130481063
131,128729291,130481063
132,128729291,130028775
133,128729291,129849997
134,128729291,129849997
135,128729291,129675440
136,128729291,129675440
137,128729291,129504421
138,128729291,129433446
139,128729291,129409120
140,128729291,129409120
141,128729291,129258219
142,128729291,129228152
143,128729291,129228152
144,128729291,128747692
145,128729291,128747692
146,128729291,128747692
147,128729291,128747692
148,128729291,128747692
149,128729291,129362002
150,128729291,128863385
151,128558018,128558018
152,128411487,128411487
153,128284695,128284695
154,127885298,127885298
155,127767760,127767760
156,127656622,127656622
157,127656622,127656622
158,127656622,127656622
159,127656622,127656622
160,127475936,127475936
161,127475936,127475936
162,127084838,127084838
163,126874239,126874239
164,126874239,126874239
165,126474884,126474884
166,126474884,126474884
167,126375143,126375143
168,125995623,125995623
169,125904002,125904002
170,125904002,125904002
171,125530205,125530205
172,124956324,124956324
173,124956324,124956324
