iteration,best_cost,incumbent_cost
278,48204965,48849671
279,48204965,48798610
280,48204965,48357276
281,48204965,48357276
282,48204965,48244339
283,48204907,48204907
284,48204907,48204907
285,47643360,47643360
286,47636848,47636848
287,47636848,47636848
288,47636848,47636848
289,47577072,47577072
290,47577072,47577072
291,47577072,47577072
292,47562345,47562345
293,47452918,47452918
294,47452918,47452918
295,47410131,47410131
296,47410131,47410131
297,47364963,47364963
298,47288860,47288860
299,47277395,47277395
300,47201987,47201987
301,47182674,47182674
302,47151726,47151726
303,47151726,47151726
304,47151726,47151726
305,47151726,47151726
306,47096558,47096558
307,47096558,47612762
308,47096558,47647861
309,47096558,47619874
310,47096558,47588982
311,47096558,47588982
312,47096558,47553180
313,47096558,47932344
314,47096558,47869780
315,47096558,47869780
316,47096558,47639789
317,47096558,47639789
318,47096558,47639789
319,47096558,47639789
320,47096558,47636485
321,47096558,47376193
322,47096558,47376193
323,47096558,47376193
324,47096558,47358840
325,47096558,47272055
326,47096558,47269983
327,47096558,47269983
328,47096558,47269146
329,47096558,47269146
330,47096558,47271219
331,47096558,47271219
332,47096558,47258530
333,47096558,47253976
334,47096558,47253976
335,47096558,47253976
336,47096558,47253976
337,47096558,47246094
338,47096558,47246094
339,47096558,47246094
340,47096558,47246094
341,47096558,47221701
342,46696756,46696756
343,46604551,46604551
344,46595623,46595623
345,46595623,46595623
346,46591730,46591730
347,46217102,46217102
348,46217102,46217102
349,46217102,46217102
350,46130214,46130214
351,46118398,46118398
352,46089237,46089237
353,45660550,45660550
354,45660550,46047232
355,45660550,46047232
356,45660550,45930698
357,45660550,45930698
358,45660550,45937262
359,45660550,45937262
360,45660550,45935767
361,45660550,45935767
362,45660550,45935767
363,45256324,45256324
364,45238374,45238374
365,45238374,45238374
366,45178629,45178629
367,45178629,45289467
368,45178629,45289467
369,45178629,45289467
370,45178629,45273151
371,45178629,45256707
372,45178629,45256707
373,45178629,45252374
374,45178629,45219431
375,45178629,45210264
376,45023596,45023596
377,45023596,45023596
378,45023596,45023596
379,45022964,45022964
380,45022964,45022964
381,45022964,45022964
382,45012556,45012556
383,45012556,45012556
384,45012556,45012556
385,44976632,44976632
386,44976632,44976632
387,44965173,44965173
388,44965173,44965173
389,44965173,44965173
390,44850094,44850094
391,44850094,44850094
392,44849742,44849742
393,44849742,44849742
394,44537690,44537690
395,44489304,44489304
396,43943158,43943158
397,43943158,43943158
398,43941776,43941776
399,43941776,44017051
400,43941776,44017051
401,43941776,44102420
402,43941776,44102420
403,43941776,44102420
404,43941776,44102420
405,43941776,44102420
406,43941776,44102420
407,43941776,44097410
408,43941776,44097410
409,43941776,44097410
410,43799023,43799023
411,43799023,43799023
412,43799023,43799023
413,43799023,43799023
414,43799023,43799023
415,43799023,43799023
416,43799023,43799023
417,43799023,43837830
418,43751176,43751176
419,43748694,43748694
420,43683763,43683763
421,43683763,43683763
422,43682131,43682131
