iteration,best_cost,incumbent_cost
0,3242625,3242625
1,2756302,2756302
2,2614882,2614882
3,2609006,2609006
4,2609006,2609006
5,2609006,2609006
6,2609006,2609006
7,2329579,2329579
8,2329579,2329579
9,1981062,1981062
10,1981062,1981062
11,1981062,1981062
12,1981062,1981062
13,1981062,1981062
14,1981062,1981062
15,1981062,1981062
16,1981062,1981062
17,1981062,1981062
18,1981062,1981062
19,1981062,1981062
20,1981062,1981062
21,1981062,1981062
22,1981062,1981062
23,1981062,1981062
24,1981062,1981062
25,1981062,1981062
26,1981062,1981062
27,1981062,1981062
28,1981062,1981062
29,1981062,1981062
30,1981062,1981062
31,1981062,1981062
32,1981062,1981062
33,1981062,1981062
34,1981062,1981062
35,1981062,1981062
36,1981062,1981062
37,1981062,1981062
38,1981062,1981062
39,1981062,1981062
40,1981062,1981062
41,1981062,1981062
42,1981062,1981062
43,1981062,1981062
44,1703512,1703512
45,1703512,1703512
46,1703512,1703512
47,1703512,1703512
48,1703512,1703512
49,1703512,1703512
50,1703512,1703512
51,1703512,1703512
52,1703512,1703512
53,1703512,1703512
54,1703512,1703512
55,1703512,1703512
56,1703512,1703512
57,1703512,1703512
58,1703512,1703512
59,1703512,1703512
60,1703512,1703512
61,1703512,1703512
62,1703512,1703512
63,1703512,1703512
64,1703512,1703512
65,1703512,1703512
66,1703512,1703512
67,1703512,1703512
68,1703512,1703512
69,1703512,1703512
70,1703512,1703512
71,1703512,1703512
72,1703512,1703512
73,1703512,1703512
74,1703512,1703512
75,1703512,1703512
76,1703512,1703512
77,1703512,1703512
78,1703512,1703512
79,1703512,1703512
80,1703512,1703512
81,1703512,1703512
82,1703512,1703512
83,1703512,1703512
84,1703512,1703512
85,1703512,1703512
86,1703512,1703512
87,1703512,1703512
88,1703512,1703512
89,1703512,1703512
90,1703512,1703512
91,1703512,1703512
92,1703512,1703512
93,1703512,1703512
94,1703512,2195711
95,1703512,1703512
96,1703512,1703512
97,1703512,1981062
98,1703512,1703512
99,1703512,1703512
100,1703512,1703512
101,1703512,1703512
102,1703512,1703512
103,1703512,1703512
104,1703512,1703512
105,1703512,1703512
106,1703512,1703512
107,1703512,1703512
108,1703512,2195711
109,1703512,2195711
110,1703512,2195711
111,1703512,2195711
112,1703512,2195711
113,1703512,1703512
114,1703512,1703512
115,1703512,1703512
116,1703512,1703512
117,1703512,1703512
118,1703512,1703512
119,1703512,1703512
120,1703512,1703512
121,1703512,1703512
122,1703512,1703512
123,1703512,2195711
124,1703512,2195711
125,1703512,2195711
126,1703512,2195711
127,1703512,2195711
128,1703512,2195711
129,1703512,2195711
130,1703512,1703512
131,1703512,1703512
132,1703512,1703512
133,1703512,1703512
134,1703512,1703512
135,1703512,1703512
136,1703512,1703512
137,1703512,1703512
138,1703512,1703512
139,1703512,1703512
140,1703512,1703512
141,1703512,1981062
142,1703512,1981062
143,1703512,1703512
144,1703512,1703512
145,1703512,1981062
146,1703512,2024882
147,1703512,2024882
148,1703512,1771884
149,1451992,1451992
150,1451992,1451992
151,1451992,1451992
152,1451992,1451992
153,1451992,1451992
154,1451992,1451992
155,1451992,1451992
156,1451992,1944191
157,1451992,1944191
158,1451992,1944191
159,1451992,1944191
160,1451992,1944191
161,1451992,1944191
162,1451992,1944191
163,1451992,1944191
164,1451992,1451992
165,1451992,1451992
166,1451992,1451992
167,1451992,1451992
168,1451992,1451992
169,1451992,1451992
170,1451992,1451992
171,1451992,1451992
172,1451992,1451992
173,1451992,1451992
174,1451992,1451992
175,1451992,1451992
176,1451992,1451992
177,1451992,1451992
178,1451992,1451992
179,1451992,1451992
180,1451992,1451992
181,1451992,1451992
182,1451992,1451992
183,1451992,1451992
184,1451992,1451992
185,1451992,1451992
186,1451992,1451992
187,1451992,1451992
188,1451992,1451992
189,1451992,1451992
190,1451992,1451992
191,1451992,1451992
192,1451992,1451992
193,1451764,1451764
194,1451764,1451764
195,1451764,1451764
196,1451764,1451764
197,1451764,1924213
198,1451764,1924213
199,1451764,1924213
200,1451764,1924213
201,1451764,1451764
202,1436528,1436528
203,1436528,1436528
204,1436528,1436528
205,1436528,1436528
206,1436528,1436528
207,1436528,1436528
208,1436528,1436528
209,1436528,1436528
210,1436528,1436528
211,1436528,1436528
212,1436528,1436528
213,1436528,1457231
214,1436528,1457231
215,1436528,1457231
216,1436528,1457231
217,1436528,1457231
218,1436528,1457231
219,1436528,1457231
220,1436528,1457231
221,1436528,1457231
222,1436528,1457231
223,1436528,1457231
224,1436528,1451764
225,1436528,1451764
226,1436528,1451764
227,1436528,1451764
228,1436528,1451764
229,1436528,1451764
230,1436528,1451764
231,1436528,1451764
232,1436528,1451764
233,1436528,1451764
234,1436528,1436528
235,1436528,1436528
236,1436528,1436528
237,1436528,1436528
238,1436528,1924213
239,1436528,1924213
240,1436528,1924213
241,1436528,1924213
242,1436528,1924213
243,1436528,1436528
244,1436528,1436528
245,1436528,1436528
246,1436528,1436528
247,1436528,1436528
248,1436528,1436528
249,1436528,1436528
250,1436528,1436528
251,1436528,1436528
252,1436528,1436528
253,1436528,1436528
254,1436528,1436528
255,1436528,1436528
256,1436528,1436528
257,1436528,1436528
258,1436528,1436528
259,1436528,1436528
260,1436528,1451992
261,1436528,1451992
262,1436528,1451992
263,1436528,1451992
264,1436528,1451992
265,1436528,1451992
266,1436528,1451992
267,1436528,1451992
268,1436528,1451992
269,1436528,1451992
270,1436528,1451992
271,1436528,1451992
272,1436528,1451992
273,1436528,1451992
274,1436528,1451992
275,1436528,1451992
276,1436528,1451992
277,1436528,1451992
278,1436528,1451992
