iteration,operator_0,operator_1,operator_2,operator_3
260,26124,0,0,0
261,0,-5759,0,0
262,0,0,0,-53604119
263,-53604119,0,0,0
264,-52910,0,0,0
265,191625,0,0,0
266,0,-71232,0,0
267,0,0,-53671602,0
268,0,0,0,0
269,0,0,0,-53671602
270,0,19051,0,0
271,0,0,0,0
272,-53690653,0,0,0
273,0,0,-53690653,0
274,0,-53690653,0,0
275,0,162847,0,0
276,0,0,-53853500,0
277,0,0,0,0
278,0,0,0,0
279,0,0,0,0
280,0,-53853500,0,0
281,0,0,0,0
282,0,0,-53853500,0
283,-53853500,0,0,0
284,0,0,-53853500,0
285,-113659,0,0,0
286,0,-53739841,0,0
287,0,0,-53739841,0
288,-53739841,0,0,0
289,-53739841,0,0,0
290,0,0,0,-53739841
291,0,0,-53739841,0
292,0,-53739841,0,0
293,0,0,0,0
294,-53739841,0,0,0
295,0,0,-53739841,0
296,0,0,0,0
297,-53739841,0,0,0
298,0,-33393,0,0
299,0,-53706448,0,0
300,0,-53706448,0,0
301,0,-53706448,0,0
302,0,0,0,0
303,0,0,-53706448,0
304,0,-53706448,0,0
305,0,-400448,0,0
306,0,0,0,-53306000
307,-53306000,0,0,0
308,0,-53306000,0,0
309,0,-53306000,0,0
310,0,-53306000,0,0
311,64093,0,0,0
312,0,-53370093,0,0
313,0,0,0,0
314,-53370093,0,0,0
315,-65642,0,0,0
316,0,0,-41020,0
317,-53263431,0,0,0
318,0,-53263431,0,0
319,0,0,0,0
320,0,0,0,0
321,0,54586,0,0
322,0,0,0,-53318017
323,-53318017,0,0,0
324,0,0,0,0
325,82528,0,0,0
326,0,-53400545,0,0
327,0,-53400545,0,0
328,-79655,0,0,0
329,0,-53320890,0,0
330,0,-393418,0,0
331,0,0,0,0
332,0,74712,0,0
333,-379870,0,0,0
334,-95557,0,0,0
335,0,0,0,0
336,-101527,0,0,0
337,-618701,0,0,0
338,0,-51806529,0,0
339,0,0,0,0
340,0,0,0,0
341,-51806529,0,0,0
342,0,0,214285,0
343,0,-52020814,0,0
344,45309,0,0,0
345,0,0,0,-52066123
346,-52066123,0,0,0
347,4243,0,0,0
348,7767,0,0,0
349,-18878,0,0,0
350,0,0,-52059255,0
351,0,-52059255,0,0
352,-375798,0,0,0
353,0,-51683457,0,0
354,0,-51683457,0,0
355,0,0,-51683457,0
356,0,409362,0,0
357,0,0,963586,0
358,-53056405,0,0,0
359,-4251,0,0,0
360,0,-177996,0,0
361,-75422,0,0,0
362,0,-86970,0,0
363,108350,0,0,0
364,-70481,0,0,0
365,0,-52749635,0,0
366,-52749635,0,0,0
367,0,0,0,0
368,0,-52749635,0,0
369,-40499,0,0,0
370,-57973,0,0,0
371,-52651163,0,0,0
372,0,-52651163,0,0
373,-52651163,0,0,0
374,-32214,0,0,0
375,0,0,0,0
376,0,0,0,0
377,-52618949,0,0,0
378,-56169,0,0,0
379,0,0,-52562780,0
380,0,-52562780,0,0
381,-52562780,0,0,0
382,-52562780,0,0,0
383,0,0,0,-52562780
384,0,-52562780,0,0
385,0,0,0,0
386,0,0,0,0
387,0,61485,0,0
388,0,-52624265,0,0
389,-599353,0,0,0
390,0,-52024912,0,0
391,0,0,0,0
392,0,0,-260956,0
393,-51763956,0,0,0
394,122510,0,0,0
395,0,0,0,0
396,0,0,0,-51886466
397,0,-51886466,0,0
398,0,0,53630,0
399,1,0,0,0
400,0,0,0,-51940097
401,0,0,-51940097,0
402,-51940097,0,0,0
403,0,-51940097,0,0
404,-51940097,0,0,0
405,0,-51940097,0,0
406,-51940097,0,0,0
407,0,-51940097,0,0
408,0,0,-51940097,0
409,-1,0,0,0
410,0,0,-51940096,0
411,-201606,0,0,0
412,0,-51738490,0,0
413,0,-51738490,0,0
414,-44707,0,0,0
415,-51693783,0,0,0
416,20313,0,0,0
417,-56651,0,0,0
418,0,-51657445,0,0
419,0,0,-51657445,0
420,0,0,-51657445,0
421,0,0,0,0
422,-32674,0,0,0
423,-51624771,0,0,0
424,0,0,0,0
425,0,-51624771,0,0
426,0,0,-51624771,0
427,-51624771,0,0,0
428,-51624771,0,0,0
429,-24128,0,0,0
430,-51600643,0,0,0
431,0,0,0,0
432,0,0,-51600643,0
433,0,0,0,0
434,0,-51600643,0,0
435,0,-51600643,0,0
436,0,0,0,0
437,0,0,0,0
438,0,-51600643,0,0
439,0,0,0,0
440,0,60711,0,0
441,-51661354,0,0,0
442,-16959,0,0,0
443,0,-277232,0,0
444,-25485,0,0,0
