iteration,best_cost,incumbent_cost
0,8959782,8959782
1,8402678,8402678
2,8402678,8402678
3,8100965,8100965
4,8100965,8100965
5,7629127,7629127
6,7413912,7413912
7,7413912,7413912
8,6763342,6763342
9,6567111,6567111
10,6567111,6567111
11,6567111,6567111
12,6261685,6261685
13,6261685,6261685
14,5876815,5876815
15,5876815,5876815
16,5746918,5746918
17,5554172,5554172
18,5554172,5554172
19,5554172,5554172
20,5554172,5554172
21,5554172,5554172
22,4991061,4991061
23,4991061,4991061
24,4648884,4648884
25,4648884,4648884
26,4379135,4379135
27,4379135,4379135
28,4379135,4379135
29,4379135,4379135
30,4048404,4048404
31,4048404,4048404
32,3516140,3516140
33,3516140,3516140
34,3516140,3516140
35,3516140,3646037
36,3516140,3646037
37,3500639,3500639
38,3288510,3288510
39,3288510,3288510
40,3288510,3653768
41,3288510,3389045
42,3288510,3389045
43,3288510,3389045
44,3288510,3389045
45,3288510,3389045
46,3288510,3389045
47,3288510,3389045
48,3288510,3389045
49,3288510,3389045
50,3288510,3389045
51,3288510,3389045
52,3288510,3389045
53,3288510,3389045
54,3288510,3389045
55,3288510,3389045
56,3288510,3389045
57,3288510,3661040
58,3288510,3661040
59,3288510,3661040
60,3288510,3661040
61,3288510,3661040
62,3288510,3661040
63,3288510,3661040
64,3288510,3661040
65,3288510,3661040
66,3288510,3661040
67,3288510,3661040
68,3288510,3661040
69,3288510,3661040
70,3288510,3661040
71,3288510,3661040
72,3288510,3661040
73,3288510,3661040
74,3288510,3389045
75,3288510,3389045
76,3288510,3389045
77,3288510,3389045
78,3288510,3353235
79,3288510,3353235
80,3288510,3353235
81,3288510,3353235
82,3288510,3353235
83,3288510,3353235
84,3288510,3353235
85,3288510,3353235
86,3288510,3353235
87,3288510,3353235
88,3288510,3353235
89,3288510,3353235
90,3288510,3353235
91,3288510,3353970
92,3288510,3353970
93,3288510,3353970
94,3288510,3353970
95,3288510,3353970
96,3288510,3353970
97,3288510,3353235
98,3288510,3353235
99,3288510,3353235
100,3288510,3353235
101,3288510,3379132
102,3288510,3379132
103,3288510,3379132
104,3288510,3379132
105,3288510,3379132
106,3288510,3379132
107,3288510,3379132
108,3288510,3379132
109,3288510,3379132
110,3288510,3682093
111,3288510,3682093
112,3288510,3682093
113,3288510,3682093
114,3288510,3379132
115,3288510,3379132
116,3288510,3379132
117,3288510,3379132
118,3288510,3379132
119,3288510,3445233
120,3288510,3445233
121,3288510,3445233
122,3288510,3445233
123,3288510,3445233
124,3288510,3445233
125,3288510,3445233
126,3288510,3418379
127,3288510,3418379
128,3288510,3418379
129,3288510,3418379
130,3288510,3418379
131,3288510,3418379
132,3288510,3418379
133,3288510,3418379
134,3288510,3418379
135,3288510,3418379
136,3288510,3418379
137,3288510,3418379
138,3288510,3418379
139,3288510,3418379
140,3288510,3418379
141,3288510,3418379
142,3288510,3418379
143,3288510,3418379
144,3288510,3418379
145,3288510,3317844
146,3288510,3317844
147,2853769,2853769
148,2853769,2853769
149,2853769,2853769
150,2853769,2853769
151,2853769,2853769
152,2853769,2853769
153,2853769,2853769
154,2853769,2853769
155,2853769,2865223
156,2853769,2865223
157,2853769,2865223
158,2853769,2865223
159,2853769,2865223
160,2853769,2865223
161,2853769,2865223
162,2853769,2865223
163,2799856,2799856
164,2799856,2799856
165,2799856,2799856
166,2799856,2799856
167,2799856,2799856
168,2799856,2945254
169,2799856,2945254
170,2799856,2945254
171,2799856,2799856
172,2799856,2799856
173,2799856,2799856
174,2799856,2799856
175,2799856,2799856
176,2799856,2799856
177,2799856,2799856
178,2799856,2799856
179,2799856,2799856
180,2799856,2799856
181,2799856,2799856
182,2799856,2799856
183,2799856,2799856
184,2799856,2799856
185,2799856,2799856
186,2799856,2799856
187,2799856,2799856
188,2799856,2799856
189,2799856,2799856
190,2799856,2799856
191,2799856,2799856
192,2799856,2799856
193,2799856,2799856
194,2799856,2799856
195,2799856,2799856
196,2799856,2799856
197,2799856,2799856
198,2799856,2799856
199,2799856,2799856
200,2799856,2799856
201,2799856,2810364
202,2799856,3022493
203,2799856,3038214
204,2799856,2826085
205,2799856,2826085
206,2799856,2826085
207,2799856,2826085
208,2799856,2826085
209,2799856,2826085
210,2799856,3129046
211,2799856,2826085
212,2799856,2826085
213,2799856,3504781
214,2799856,3504781
215,2799856,3504781
216,2799856,2826085
217,2799856,2826085
218,2799856,2826085
219,2799856,2826085
220,2799856,2826085
221,2799856,2815577
222,2799856,2815577
223,2799856,2815577
224,2799856,2815577
225,2799856,2815577
226,2799856,2815577
227,2799856,3180835
228,2799856,3180835
229,2799856,3180835
230,2799856,2815577
231,2799856,2815577
232,2799856,2815577
233,2799856,2815577
234,2799856,2815577
235,2799856,2815577
236,2799856,2815577
237,2799856,2815577
238,2799856,2815577
239,2799856,2815577
240,2799856,2815577
241,2799856,2815577
242,2799856,2815577
243,2799856,2815577
244,2799856,2815577
245,2799856,2815577
246,2799856,2815577
247,2799856,2815577
248,2799856,2815577
249,2799856,2815577
250,2799856,2816100
251,2799856,2816100
252,2799856,2816100
253,2799856,2823718
254,2799856,2823718
255,2799856,2823718
256,2799856,3512063
257,2799856,3512063
258,2799856,3512063
259,2799856,3504445
260,2799856,3504445
261,2799856,3504445
262,2799856,3504445
263,2799856,3504445
264,2799856,3504445
265,2799856,2816100
266,2799856,2815577
267,2799856,2815577
268,2799856,2815577
269,2799856,2815577
270,2799856,2815577
271,2799856,2815577
272,2799856,2815577
273,2799856,2815577
274,2799856,2815577
275,2799856,2815577
276,2799856,2815577
277,2799856,2815577
278,2799856,2815577
279,2799856,2815577
280,2799856,2815577
281,2799856,2815577
282,2799856,2815577
283,2799856,2815577
284,2799856,2815577
285,2799856,2815577
286,2799856,2815577
287,2799856,2815577
288,2799856,2815577
289,2799856,2815577
290,2799856,2815577
291,2799856,2815577
292,2799856,2815577
293,2799856,2815577
294,2799856,2815577
295,2799856,2815577
296,2799856,2815577
297,2799856,2815577
298,2799856,2815577
299,2799856,2815577
300,2799856,2799856
301,2799856,3165114
302,2799856,3165114
303,2799856,3165114
304,2799856,3165114
305,2799856,3165114
306,2799856,2799856
307,2799856,2799856
308,2799856,3303542
309,2799856,3303542
310,2799856,3303542
311,2799856,3242998
312,2799856,3242998
313,2799856,3242998
314,2799856,3242998
315,2799856,3242998
316,2799856,3242998
317,2775068,2775068
318,2775068,2775068
319,2775068,2775068
320,2775068,2775068
321,2775068,2775068
322,2775068,2775068
323,2775068,2775068
324,2775068,2775068
325,2775068,2775068
326,2775068,3312542
327,2775068,3312542
328,2775068,3316135
329,2775068,3287997
330,2775068,3287997
331,2775068,3287997
332,2750523,2750523
333,2750523,2750523
334,2711788,2711788
335,2711788,2711788
336,2711788,2711788
337,2711788,2711788
338,2711788,2711788
339,2711788,2711788
340,2711788,2711788
341,2711788,2711788
342,2711788,2711788
343,2711788,2711788
344,2711788,2711788
345,2711788,2785647
346,2711788,2785647
347,2711788,2785647
348,2711788,2785647
349,2711788,2785647
350,2711788,2785647
351,2711788,2785647
352,2711788,2785647
353,2711788,2785647
354,2711788,2807003
355,2686885,2686885
