iteration,temperature
0,711008.8508746288
1,709711.5748864681
2,708416.66585195
3,707124.1194524332
4,705833.9313771562
5,704546.0973232224
6,703260.6129955866
7,701977.4741070396
8,700696.6763781948
9,699418.2155374736
10,698142.0873210909
11,696868.2874730412
12,695596.8117450846
13,694327.655896732
14,693060.8156952314
15,691796.2869155539
16,690534.0653403789
17,689274.1467600812
18,688016.5269727159
19,686761.2017840048
20,685508.1670073227
21,684257.4184636826
22,683008.9519817228
23,681762.7633976922
24,680518.8485554368
25,679277.2033063858
26,678037.8235095375
27,676800.705031446
28,675565.8437462067
29,674333.2355354434
30,673102.8762882937
31,671874.7619013961
32,670648.8882788755
33,669425.2513323303
34,668203.8469808182
35,666984.6711508429
36,665767.7197763405
37,664552.9887986658
38,663340.4741665787
39,662130.171836231
40,660922.0777711526
41,659716.1879422383
42,658512.4983277341
43,657311.0049132239
44,656111.7036916164
45,654914.5906631312
46,653719.6618352857
47,652526.9132228821
48,651336.3408479934
49,650147.940739951
50,648961.7089353306
51,647777.6414779398
52,646595.7344188041
53,645415.9838161543
54,644238.3857354133
55,643062.9362491828
56,641889.63143723
57,640718.4673864753
58,639549.4401909782
59,638382.5459519251
60,637217.780777616
61,636055.1407834514
62,634894.6220919196
63,633736.2208325837
64,632579.9331420683
65,631425.7551640474
66,630273.6830492306
67,629123.7129553512
68,627975.8410471528
69,626830.0634963764
70,625686.3764817481
71,624544.7761889661
72,623405.258810688
73,622267.8205465182
74,621132.457602995
75,619999.166193578
76,618867.9425386359
77,617738.7828654333
78,616611.6834081183
79,615486.6404077102
80,614363.6501120868
81,613242.7087759716
82,612123.8126609217
83,611006.9580353154
84,609892.1411743392
85,608779.3583599761
86,607668.6058809925
87,606559.8800329263
88,605453.1771180746
89,604348.4934454808
90,603245.825330923
91,602145.169096901
92,601046.5210726247
93,599949.8775940015
94,598855.2350036241
95,597762.5896507584
96,596671.9378913313
97,595583.2760879183
98,594496.600609732
99,593411.9078326091
100,592329.1941389991
101,591248.4559179519
102,590169.6895651056
103,589092.8914826749
104,588018.0580794387
105,586945.1857707284
106,585874.2709784157
107,584805.3101309009
108,583738.299663101
109,582673.2360164373
110,581610.1156388243
111,580548.9349846573
112,579489.690514801
113,578432.378696577
114,577376.996003753
115,576323.5389165302
116,575272.003921532
117,574222.3875117918
118,573174.6861867422
119,572128.8964522023
120,571085.0148203671
121,570043.0378097948
122,569002.9619453957
123,567964.7837584208
124,566928.4997864502
125,565894.1065733809
126,564861.600669416
127,563830.9786310531
128,562802.2370210725
129,561775.372408526
130,560750.3813687252
131,559727.2604832302
132,558706.0063398386
133,557686.6155325733
134,556669.084661672
135,555653.4103335752
136,554639.5891609152
137,553627.6177625048
138,552617.492763326
139,551609.2107945186
140,550602.768493369
141,549598.1625032993
142,548595.3894738557
143,547594.4460606975
144,546595.3289255862
145,545598.0347363737
146,544602.5601669918
147,543608.9018974409
148,542617.0566137789
149,541627.0210081103
150,540638.7917785747
151,539652.3656293364
152,538667.7392705734
153,537684.9094184655
154,536703.8727951845
155,535724.6261288828
156,534747.166153682
157,533771.4896096633
158,532797.5932428549
159,531825.4738052228
160,530855.1280546586
161,529886.5527549699
162,528919.7446758684
163,527954.70059296
164,526991.4172877335
165,526029.8915475502
166,525070.1201656329
167,524112.0999410554
168,523155.82767873176
169,522201.30018940574
170,521248.51428964
171,520297.46680180554
172,519348.1545540712
173,518400.57438039297
174,517454.7231205034
175,516510.5976199013
176,515568.19472984085
177,514627.5113073214
178,513688.54421507684
179,512751.2903215653
180,511815.7465009584
181,510881.9096331311
182,509949.7766036513
183,509019.3443037692
184,508090.6096304071
185,507163.56948614924
186,506238.22077923105
187,505314.5604235291
