iteration,operator_0,operator_1,operator_2,operator_3,operator_4,operator_5,operator_6
0,0,0,0,0,0,0,0
1,0,0,0,-170784643,0,0,0
2,0,-37522601,0,0,0,0,0
3,0,0,0,-133262042,0,0,0
4,0,-377840,0,0,0,0,0
5,-173855,0,0,0,0,0,0
6,0,0,0,0,0,0,0
7,0,0,-47291,0,0,0,0
8,0,0,0,0,0,0,480832
9,0,-326218,0,0,0,0,0
10,-295918,0,0,0,0,0,0
11,0,-411148,0,0,0,0,0
12,0,0,0,0,0,0,0
13,0,0,0,0,-132110604,0,0
14,0,-198426,0,0,0,0,0
15,0,0,0,0,0,0,-131912178
16,0,-198182,0,0,0,0,0
17,0,0,0,718065,0,0,0
18,0,0,0,-132432061,0,0,0
19,0,0,0,0,0,0,0
20,0,-415047,0,0,0,0,0
21,0,0,0,0,0,0,0
22,0,0,0,0,0,0,0
23,0,0,0,33873,0,0,0
24,0,0,-22171,0,0,0,0
25,0,0,-60208,0,0,0,0
26,0,0,0,0,0,0,0
27,0,0,0,0,0,0,0
28,0,0,0,0,0,0,0
29,0,0,-22460,0,0,0,0
30,0,-300150,0,0,0,0,0
31,0,0,0,0,0,0,0
32,0,0,0,-131645898,0,0,0
33,0,0,0,-131645898,0,0,0
34,0,-366114,0,0,0,0,0
35,-255901,0,0,0,0,0,0
36,0,0,-85566,0,0,0,0
37,0,0,0,0,-130938317,0,0
38,0,-185395,0,0,0,0,0
39,0,0,0,-130752922,0,0,0
40,0,0,-57328,0,0,0,0
41,0,0,0,-130695594,0,0,0
42,0,0,0,-130695594,0,0,0
43,0,0,-91816,0,0,0,0
44,0,0,0,0,-130603778,0,0
45,0,0,-242963,0,0,0,0
46,0,0,-2374,0,0,0,0
47,0,0,0,0,0,0,0
48,0,0,0,0,0,0,0
49,-172866,0,0,0,0,0,0
50,0,0,0,0,-130185575,0,0
51,0,-382384,0,0,0,0,0
52,0,0,0,0,0,0,0
53,0,0,0,0,0,0,-129803191
54,0,-291053,0,0,0,0,0
55,0,0,0,-129512138,0,0,0
56,0,0,0,0,-129512138,0,0
57,0,0,0,0,0,0,-129512138
58,0,0,0,-129512138,0,0,0
59,0,0,0,0,0,0,-129512138
60,0,-127206,0,0,0,0,0
61,0,-14758,0,0,0,0,0
62,0,0,0,0,0,0,-129370174
63,0,-247974,0,0,0,0,0
64,0,0,0,0,-129122200,0,0
65,0,0,0,0,0,0,-129122200
66,0,0,-3651,0,0,0,0
67,0,0,0,0,-129118549,0,0
68,0,-389258,0,0,0,0,0
69,0,0,0,0,0,0,2599811
70,0,0,0,-131329102,0,0,0
71,0,0,0,0,0,0,-131329102
72,0,0,0,-131329102,0,0,0
73,0,0,0,0,-131329102,0,0
74,0,0,0,0,0,0,-94737
75,0,-248885,0,0,0,0,0
76,0,-255362,0,0,0,0,0
77,0,0,0,0,0,0,0
78,0,0,0,0,0,0,0
79,-114388,0,0,0,0,0,0
80,0,0,0,0,0,0,0
81,0,-133100,0,0,0,0,0
82,0,0,0,0,0,0,1001838
83,0,0,0,0,0,0,0
84,0,-392900,0,0,0,0,0
85,0,0,0,0,0,0,28809
86,0,0,0,-131120377,0,0,0
87,0,0,0,-21387,0,0,0
88,0,0,0,0,0,0,0
89,0,0,-63907,0,0,0,0
90,0,0,0,0,-131035083,0,0
91,0,0,0,0,0,0,0
92,0,-143062,0,0,0,0,0
93,0,-451884,0,0,0,0,0
94,0,0,0,0,0,0,0
95,0,0,0,0,0,0,489423
96,0,-114971,0,0,0,0,0
97,0,0,0,0,-130814589,0,0
98,0,-468382,0,0,0,0,0
99,0,0,0,0,-130346207,0,0
100,0,0,0,-250100,0,0,0
101,0,0,0,0,0,0,0
102,0,0,-241373,0,0,0,0
103,0,0,0,0,0,0,0
104,0,0,0,0,0,0,0
105,0,0,0,0,0,0,0
106,0,0,0,0,0,0,0
107,0,-194731,0,0,0,0,0
108,0,-122908,0,0,0,0,0
109,0,0,0,-129537095,0,0,0
110,0,0,-168483,0,0,0,0
111,0,0,0,0,0,0,0
112,0,-45705,0,0,0,0,0
113,0,0,0,0,-129322907,0,0
114,0,-216751,0,0,0,0,0
115,0,0,0,0,0,0,-129106156
116,0,0,-124528,0,0,0,0
117,0,0,-142467,0,0,0,0
118,0,0,0,0,0,0,1576748
119,0,0,-122439,0,0,0,0
120,0,0,-91833,0,0,0,0
121,0,0,0,0,0,0,0
122,0,0,-115933,0,0,0,0
123,0,-339381,0,0,0,0,0
124,0,0,-12438,0,0,0,0
125,0,-45679,0,0,0,0,0
126,0,0,-95597,0,0,0,0
127,0,0,0,0,0,0,945247
128,0,0,-1721,0,0,0,0
129,0,0,0,0,0,0,0
130,0,0,-55072,0,0,0,0
131,0,0,0,0,0,0,0
132,0,-452288,0,0,0,0,0
133,0,-178778,0,0,0,0,0
134,0,0,0,0,0,0,0
135,0,-174557,0,0,0,0,0
136,0,0,0,0,0,0,0
137,0,-171019,0,0,0,0,0
