iteration,best_cost,incumbent_cost
0,46770347,46770347
1,46770347,46770347
2,38401748,38401748
3,38401748,38401748
4,38401748,38401748
5,38220054,38220054
6,38220054,38220054
7,37244692,37244692
8,37244692,37244692
9,37101700,37101700
10,37080980,37080980
11,37080980,37080980
12,37080980,37181840
13,37080980,37181840
14,37080980,37108576
15,37080980,37108576
16,37080980,37108576
17,37080980,37108576
18,37080980,37099929
19,37080980,37099929
20,37023035,37023035
21,36777149,36777149
22,36777149,36777149
23,36777149,36777149
24,36777149,36777149
25,36777149,36777149
26,36777149,36777149
27,36777149,36777149
28,36777149,36777149
29,36777149,36777149
30,36074298,36074298
31,35994937,35994937
32,35994937,35994937
33,35994936,35994936
34,35994936,35994936
35,35994936,35994936
36,35949459,35949459
37,35949459,35949459
38,35949459,35949459
39,35890437,35890437
40,35890437,35890437
41,35871904,35871904
42,35540392,35540392
43,35420216,35420216
44,35420216,35420216
45,35285495,35285495
46,35201299,35201299
47,35111370,35111370
48,35111370,35111370
49,35103928,35103928
50,35103928,35103928
51,35103928,35103928
52,35103928,35103928
53,35103928,35292551
54,35103928,35292551
55,35103928,35292551
56,35103928,35249340
57,35103928,35249340
58,35103928,35249340
59,35103928,35224765
60,35103928,35224765
61,35056330,35056330
62,35056330,35138816
63,35056330,35138816
64,35056330,35138816
65,35056330,35138816
66,35056330,35138816
67,34841931,34841931
68,34841931,34841931
69,34841931,34841931
70,34841931,34841931
71,34781176,34781176
72,34781176,34912076
73,34781176,34819827
74,34781176,34819827
75,34781176,34819827
76,34781176,34819827
77,34781176,34819827
78,34781176,34801568
79,34781176,34815983
80,34781176,35069875
81,34781176,35069875
82,34781176,35069875
83,34781176,36181584
84,34781176,36158527
85,34781176,36849922
86,34781176,36849922
87,34781176,36849922
88,34781176,36849922
89,34781176,36849922
90,34781176,36849922
91,34781176,36849922
92,34781176,36840496
93,34781176,36840496
94,34781176,36840496
95,34781176,36807811
96,34781176,36609593
97,34781176,36098483
98,34781176,36231061
99,34781176,36231061
100,34781176,36231061
101,34781176,36231061
102,34781176,36231061
103,34781176,36231061
104,34781176,36173287
105,34781176,36122063
106,34781176,35991380
107,34781176,35936714
108,34781176,35871041
109,34781176,35865662
110,34781176,35162811
111,34781176,35078088
112,34781176,34943821
113,34660054,34660054
114,34613529,34613529
115,34570072,34570072
116,34474995,34474995
117,34474995,34474995
118,34434236,34434236
119,34016166,34016166
120,34016166,34016166
121,33978214,33978214
122,33978214,33978214
123,33969733,33969733
124,33965949,33965949
125,33931542,33931542
126,33931542,34154383
127,33931542,34091685
128,33931542,34085664
129,33931542,34085664
130,33931542,34097806
131,33931542,34097806
132,33931542,33941580
133,33893760,33893760
134,33167246,33167246
135,33103582,33103582
136,33022109,33022109
137,32971887,32971887
138,32971887,32971887
139,32930519,32930519
140,32928565,32928565
141,32475962,32475962
142,32339124,32339124
143,32339124,32339124
144,32308543,32308543
145,32308543,32308543
146,31835437,31835437
147,31777720,31777720
148,31770856,31770856
149,31763925,31763925
150,31763925,31763925
151,31321335,31321335
152,31321335,31321335
153,31321335,31321335
154,31321335,31321335
155,31321335,31321335
156,31321335,31321335
157,31321335,31321335
158,31321335,31321335
159,31076816,31076816
160,31044595,31044595
161,31044595,31062146
162,30610721,30610721
163,30583731,30583731
164,30583731,30583731
165,30583731,30958633
166,30583731,30946639
167,30583731,30929088
168,30583731,30917445
169,30583731,30917445
170,30583731,30917445
171,30583731,30917445
172,30583731,30917445
173,30583731,30917445
174,30583731,30917445
175,30583731,30808308
176,30583731,32079806
177,30583731,32064013
178,30583731,32020457
179,30583731,31472227
180,30583731,31472227
181,30583731,31155245
182,30583731,31030263
183,30583731,30996489
184,30583731,30996489
185,30583731,30835337
186,30434502,30434502
187,30392955,30392955
188,30392955,30393978
189,30297207,30297207
190,30199177,30199177
191,30199177,30199177
192,30144500,30144500
193,30144500,30170413
194,30144500,30170413
195,30144500,30170413
196,30140823,30140823
197,30140823,30140823
198,30059819,30059819
199,30059819,30245903
200,30059819,30190024
201,30059819,30178586
202,30059819,30077305
203,30059819,30077305
204,30014350,30014350
205,30014350,31555406
206,30014350,31555406
207,30014350,31489071
208,30014350,30596938
209,29958450,29958450
210,29958450,29958450
211,29958450,29958450
212,29958450,29958450
213,29958450,29958450
214,29958450,29958450
215,29840233,29840233
216,29806241,29806241
217,29186809,29186809
218,28573759,28573759
219,28573759,28573759
220,28573759,28573759
221,28573759,28573759
222,28195595,28195595
223,28185493,28185493
224,28185493,28185493
225,28159089,28159089
226,28159089,28935990
227,28159089,28935990
228,28159089,28911235
229,28159089,28644994
230,28159089,28588095
231,28159089,28205008
232,27713433,27713433
233,27713433,27713433
234,27440431,27440431
235,27415954,27415954
236,27413356,27413356
237,27413356,27413356
238,27386983,27386983
239,26972539,26972539
240,26972538,26972538
241,26940547,26940547
242,26940547,26940547
243,26940547,26940547
244,26940547,26940547
245,26940547,26940547
246,26916411,26916411
247,26916411,26916411
248,26796342,26796342
249,26439714,26439714
250,26439714,26439714
251,26439714,26439714
252,26438877,26438877
253,26438877,26438877
254,26438877,26438877
255,26272225,26272225
256,26272225,26272225
257,26272118,26272118
258,26272118,26272118
259,26266633,26266633
260,26266633,26266633
261,26190655,26190655
262,26190655,26190655
263,26190655,26190655
264,26190655,26221226
265,26166620,26166620
266,25737903,25737903
267,25415411,25415411
268,25388649,25388649
269,25388649,25388649
270,25388649,25388649
271,25388649,25388649
272,25388649,25402052
273,25388649,25402052
274,25388649,25402052
275,25388649,25402052
276,25388649,25402052
277,25388649,25402052
278,25363740,25363740
279,25363740,25512048
280,25363740,25523223
281,25363740,25523223
282,25363740,25523223
283,25363740,25523223
284,25363740,25523223
285,25363740,25507349
286,25363740,26043681
287,25363740,25953131
288,25363740,25908060
289,25363740,25908060
290,25363740,25908060
291,25363740,25908060
292,25363740,25908060
293,25363740,25894236
294,25363740,25894236
295,25363740,25894971
296,25363740,25883796
297,25363740,25883796
298,25363740,25883796
299,25363740,25882289
300,25363740,25994524
301,25363740,25985103
302,25363740,25985103
303,25363740,25984331
304,25363740,25984331
305,25363740,25984331
306,25363740,25966444
307,25363740,25527825
308,25363740,25472259
309,25363740,25599796
310,25363740,25599796
311,25363740,25486384
312,25363740,25487504
313,25363740,25487504
314,25363740,25487504
315,25030306,25030306
316,25030306,25030306
317,24473435,24473435
318,24473435,24473435
319,24473435,24473435
320,24433283,24433283
321,24433283,24433283
322,24091514,24091514
323,24065630,24065630
324,23777069,23777069
325,23777069,23777069
326,23777069,23777069
327,23777069,23777069
328,23767139,23767139
329,23495998,23495998
330,23495998,24585471
331,23495998,24489669
332,23495998,24489669
333,23495998,24886255
334,23495998,24874399
335,23495998,24844428
336,23495998,24831329
337,23495998,24756441
338,23495998,24756441
339,23495998,24792979
340,23495998,24792979
341,23495998,24792979
342,23495998,24762364
343,23495998,24762351
344,23495998,24804766
345,23495998,24829776
346,23495998,24829776
347,23495998,24807003
348,23495998,24807003
349,23495998,24811759
350,23495998,24904870
351,23495998,24777024
352,23495998,24776544
353,23495998,24374945
354,23495998,24313935
355,23495998,24313935
356,23495998,24411308
357,23495998,24402702
358,23495998,24310990
359,23495998,24137280
360,23495998,24243105
361,23495998,24243105
362,23495998,24040928
363,23495998,24040874
364,23495998,24019384
365,23495998,24019384
366,23495998,24006758
367,23495998,23988276
368,23495998,23988276
369,23495998,23996146
370,23495998,23996146
371,23495998,23996146
372,23495998,23996146
373,23495998,23996146
374,23352648,23352648
375,23352648,23352648
376,23331461,23331461
377,23317609,23317609
378,23309832,23309832
379,23005539,23005539
380,22518598,22518598
381,22481179,22481179
382,22481179,22972009
383,22481179,22970468
384,22481179,22970146
385,22481179,22961592
386,22481179,22789460
387,22481179,22673354
388,22481179,22673354
389,22481179,22673354
390,22481179,22669746
391,22481179,22661376
392,22481179,22528306
393,22481179,22517906
394,22481179,22493164
395,22481179,22555348
396,22481179,22524593
397,22481179,22528264
398,22481179,22486876
399,22145084,22145084
400,22128084,22128084
401,22128084,22128084
402,22128084,22128084
403,22077814,22077814
404,22077814,22220327
405,22077814,22199856
406,22077814,22153075
