iteration,temperature
0,424393.1740005856
1,423640.9257301364
2,422890.0108398993
3,422140.42696642224
4,421392.17175044236
5,420645.24283687863
6,419899.6378748245
7,419155.3545175404
8,418412.39042244654
9,417670.7432511153
10,416930.41066926403
11,416191.3903467477
12,415453.6799575515
13,414717.2771797834
14,413982.1796956672
15,413248.38519153494
16,412515.89135781967
17,411784.6958890482
18,411054.796483834
19,410326.1908448696
20,409598.87667891965
21,408872.85169681365
22,408148.11361343873
23,407424.6601477324
24,406702.48902267544
25,405981.59796528466
26,405261.98470660584
27,404543.64698170655
28,403826.582529669
29,403110.7890935829
30,402396.2644205384
31,401683.00626161904
32,400971.01237189467
33,400260.2805104142
34,399550.8084401988
35,398842.59392823465
36,398135.6347454661
37,397429.9286667885
38,396725.4734710413
39,396022.266941001
40,395320.30686337413
41,394619.59102879046
42,393920.1172317958
43,393221.8832708453
44,392524.88694829633
45,391829.1260704017
46,391134.5984473026
47,390441.3018930219
48,389749.2342254572
49,389058.3932663738
50,388368.77684139804
51,387680.38278001046
52,386993.20891553885
53,386307.25308515143
54,385622.5131298502
55,384938.986894464
56,384256.67222764174
57,383575.5669818457
58,382895.66901334474
59,382216.97618220747
60,381539.4863522956
61,380863.19739125733
62,380188.1071705203
63,379514.21356528526
64,378841.51445451914
65,378170.00772094855
66,377499.69125105295
67,376830.5629350581
68,376162.62066692935
69,375495.8623443651
70,374830.2858687901
71,374165.8891453489
72,373502.6700828993
73,372840.62659400556
74,372179.7565949321
75,371520.0580056368
76,370861.5287497644
77,370204.16675464006
78,369547.9699512629
79,368892.9362742992
80,368239.0636620764
81,367586.35005657614
82,366934.7934034278
83,366284.39165190246
84,365635.14275490603
85,364987.04466897296
86,364340.0953542598
87,363694.29277453886
88,363049.63489719154
89,362406.11969320226
90,361763.7451371519
91,361122.50920721143
92,360482.40988513554
93,359843.4451562563
94,359205.613009477
95,358568.9114372654
96,357933.33843564783
97,357298.8920042027
98,356665.5701460542
99,356033.37086786603
100,355402.2921798351
101,354772.33209568536
102,354143.48863266147
103,353515.75981152256
104,352889.14365653606
105,352263.6381954714
106,351639.24145959376
107,351015.95148365817
108,350393.7663059029
109,349772.6839680436
110,349152.702515267
111,348533.81999622483
112,347916.03446302755
113,347299.3439712384
114,346683.74657986715
115,346069.240351364
116,345455.8233516136
117,344843.4936499287
118,344232.24931904447
119,343622.088435112
120,343013.0090776925
121,342405.0093297514
122,341798.0872776519
123,341192.2410111492
124,340587.4686233846
125,339983.7682108792
126,339381.1378735281
127,338779.57571459457
128,338179.07984070363
129,337579.6483618365
130,336981.2793913245
131,336383.9710458431
132,335787.721445406
133,335192.5287133592
134,334598.39097637526
135,334005.30636444717
136,333413.2730108825
137,332822.28905229765
138,332232.3526286119
139,331643.4618830416
140,331055.61496209423
141,330468.81001556275
142,329883.0451965195
143,329298.31866131077
144,328714.6285695505
145,328131.9730841151
146,327550.3503711369
147,326969.75859999924
148,326390.19594333007
149,325811.66057699634
150,325234.15068009845
151,324657.66443496436
152,324082.2000271439
153,323507.755645403
154,322934.3294817182
155,322361.91973127064
156,321790.5245924407
157,321220.142266802
158,320650.77095911617
159,320082.4088773267
160,319515.0542325537
161,318948.70523908804
162,318383.36011438584
163,317819.0170790628
164,317255.6743568887
165,316693.3301747816
166,316131.98276280257
167,315571.63035414985
168,315012.27118515334
169,314453.9034952692
170,313896.52552707406
171,313340.1355262598
172,312784.7317416277
173,312230.31242508313
174,311676.87583163014
175,311124.4202193656
176,310572.9438494742
177,310022.4449862225
178,309472.92189695383
179,308924.37285208266
180,308376.7961250892
181,307830.18999251403
182,307284.55273395247
183,306739.8826320494
184,306196.17797249364
185,305653.4370440129
186,305111.65813836793
187,304570.83955034753
188,304030.979577763
189,303492.0765214428
190,302954.12868522713
191,302417.13437596284
192,301881.0919034979
193,301345.99958067597
194,300811.85572333145
195,300278.6586502838
196,299746.4066833326
197,299215.0981472518
198,298684.7313697851
199,298155.30468164
200,297626.816416483
201,297099.2649109343
202,296572.6485045623
203,296046.96553987876
204,295522.2143623332
205,294998.3933203079
206,294475.5007651128
207,293953.53505098016
208,293432.4945350593
209,292912.3775774117
210,292393.1825410055
211,291874.9077917106
212,291357.5516982934
213,290841.1126324119
214,290325.58896861004
215,289810.97908431327
216,289297.28135982284
217,288784.4941783111
218,288272.6159258162
219,287761.6449912371
220,287251.5797663285
221,286742.4186456957
222,286234.16002678976
223,285726.8023099021
224,285220.3438981598
225,284714.78319752036
226,284210.1186167668
227,283706.3485675027
228,283203.4714641469
229,282701.48572392896
230,282200.3897668838
231,281700.1820158469
232,281200.8608964493
233,280702.4248371127
234,280204.87226904446
235,279708.2016262326
236,279212.41134544095
237,278717.4998662043
238,278223.4656308233
239,277730.30708435975
240,277238.02267463156
241,276746.610852208
242,276256.0700704046
243,275766.3987852786
244,275277.5954556238
245,274789.65854296595
246,274302.58651155763
247,273816.3778283737
248,273331.03096310626
249,272846.54438816
250,272362.9165786473
251,271880.14601238334
252,271398.2311698816
253,270917.17053434876
254,270436.96259168006
255,269957.60583045456
256,269479.0987419303
257,269001.4398200397
258,268524.62756138475
259,268048.6604652321
260,267573.53703350853
261,267099.2557707963
262,266625.8151843283
263,266153.2137839833
264,265681.4500822815
265,265210.5225943795
266,264740.429838066
267,264271.1703337569
268,263802.7426044907
269,263335.1451759239
270,262868.37657632615
271,262402.43533657596
272,261937.31999015587
273,261473.02907314777
274,261009.56112422846
275,260546.91468466498
276,260085.08829830997
277,259624.08051159713
278,259163.88987353668
279,258704.51493571076
280,258245.95425226883
281,257788.20637992318
282,257331.26987794437
283,256875.1433081567
284,256419.82523493364
285,255965.31422519338
286,255511.60884839427
287,255058.70767653038
288,254606.60928412687
289,254155.31224823566
290,253704.81514843085
291,253255.1165668043
292,252806.21508796114
293,252358.10929901537
294,251910.79778958528
295,251464.27915178917
296,251018.55198024085
297,250573.61487204517
298,250129.46642679366
299,249686.10524656015
300,249243.52993589628
301,248801.7391018272
302,248360.73135384714
303,247920.505303915
304,247481.05956645007
305,247042.3927583276
306,246604.50349887443
307,246167.39040986475
308,245731.05211551563
309,245295.48724248278
310,244860.6944198562
311,244426.6722791559
312,243993.41945432746
313,243560.9345817379
314,243129.21630017133
315,242698.26325082462
