iteration,operator_0,operator_1,operator_2,operator_3
0,0,0,0,0
1,-2107773,0,0,0
2,0,0,0,-8064236
3,0,-36598338,0,0
4,0,0,-36598338,0
5,0,0,0,-36598338
6,0,-36598338,0,0
7,-36598338,0,0,0
8,0,0,0,-36598338
9,0,0,0,0
10,0,16969,0,0
11,0,-36615307,0,0
12,0,0,0,0
13,0,-36615307,0,0
14,0,0,8660,0
15,0,0,0,0
16,0,-67792,0,0
17,0,0,0,-36556175
18,0,-256726,0,0
19,0,0,0,0
20,-36299449,0,0,0
21,0,0,0,0
22,0,0,-87214,0
23,0,0,913798,0
24,0,-592606,0,0
25,0,0,0,0
26,-73393,0,0,0
27,0,79071,0,0
28,0,535058,0,0
29,-656494,0,0,0
30,0,0,0,0
31,0,-36417669,0,0
32,-20322,0,0,0
33,0,0,0,-36397347
34,0,0,0,0
35,0,98838,0,0
36,0,0,227381,0
37,0,0,0,0
38,0,0,0,0
39,0,-36723566,0,0
40,0,0,0,-36723566
41,0,0,0,0
42,0,-36723566,0,0
43,-89919,0,0,0
44,45352,0,0,0
45,0,0,0,0
46,0,0,0,0
47,0,0,-36678999,0
48,0,0,-166893,0
49,0,0,0,0
50,0,0,0,0
51,161884,0,0,0
52,0,0,0,0
53,0,0,0,0
54,0,0,0,96313
55,0,0,-36770303,0
56,0,0,0,-36770303
57,0,-36770303,0,0
58,0,0,-36770303,0
59,0,0,-36770303,0
60,0,0,0,-946508
61,0,-35823795,0,0
62,0,-35823795,0,0
63,0,0,0,0
64,0,0,0,-35823795
65,0,30505,0,0
66,0,0,0,-35854300
67,0,0,0,-35854300
68,124589,0,0,0
69,0,-35978889,0,0
70,0,-35978889,0,0
71,0,0,0,-35978889
72,0,0,0,0
73,-53187,0,0,0
74,0,0,-72469,0
75,0,-35853233,0,0
76,0,0,0,0
77,-330825,0,0,0
78,0,0,-35522408,0
79,-35522408,0,0,0
80,0,0,0,-35522408
81,0,0,0,0
82,0,0,0,0
83,-110800,0,0,0
84,0,0,-35411608,0
85,0,0,0,-305747
86,0,-35105861,0,0
87,0,-103237,0,0
